Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2023),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"83,611",884,521,"8,144","2,303","3,546","38,043",437,"4,811","4,445",809,420,137,"6,172",976,"3,306","19,212"
011001,Tiergarten Süd,"4,491",47,31,418,105,203,"2,058",24,263,279,33,15,5,298,35,210,"1,119"
011002,Regierungsviertel,"6,550",44,22,484,114,254,"3,036",13,236,197,39,7,1,492,103,165,"1,119"
011003,Alexanderplatz,"19,673",199,115,"1,972",594,688,"9,948",67,618,852,146,62,18,"1,290",238,735,"4,074"
011004,Brunnenstraße Süd,"3,724",51,32,356,93,114,"1,797",23,180,453,60,19,5,455,96,83,871
012005,Moabit West,"6,344",48,30,609,157,314,"2,087",44,457,215,85,49,17,552,49,179,"1,482"
012006,Moabit Ost,"10,424",72,42,918,228,397,"4,180",23,416,341,81,60,31,612,98,560,"2,020"
013007,Osloer Straße,"6,510",89,42,735,211,335,"3,115",42,428,322,69,41,11,449,46,137,"1,802"
013008,Brunnenstraße Nord,"6,822",74,35,774,234,356,"2,767",66,454,444,99,58,14,664,149,356,"1,735"
014009,Parkviertel,"6,937",66,37,670,189,328,"3,452",71,777,479,87,49,17,502,31,152,"1,890"
014010,Wedding Zentrum,"9,431",166,109,"1,005",329,432,"4,242",44,701,755,110,55,17,700,117,570,"2,637"
019900,"Bezirk (Mi), nicht zuzuordnen","2,705",28,26,203,49,125,"1,361",20,281,108,0,5,1,158,14,159,463
020000,Friedrichshain-Kreuzberg,"55,838",923,606,"5,502","1,839","2,110","25,285",394,"3,674","4,084",495,298,85,"4,906",801,"4,455","12,724"
021001,Südliche  Friedrichstadt,"8,513",104,57,870,305,348,"3,461",59,718,500,56,63,13,756,92,716,"1,860"
022002,Tempelhofer Vorstadt,"10,358",128,71,947,284,386,"5,409",88,957,"1,039",88,80,25,781,125,384,"2,068"
023003,Nördliche Luisenstadt,"5,357",89,60,455,182,366,"2,427",41,334,271,34,18,6,365,41,571,"1,252"
023004,Südliche Luisenstadt,"7,852",256,190,636,299,150,"3,000",29,667,610,66,27,13,584,67,"1,466","1,565"
024005,Karl-Marx-Allee Nord,"2,690",43,33,282,72,132,"1,287",42,157,243,62,15,4,241,29,66,867
024006,Karl-Marx-Allee Süd,"6,766",102,70,760,212,212,"3,212",48,236,293,44,28,4,569,111,365,"1,628"
025007,Frankfurter Allee Nord,"3,899",41,19,331,86,174,"2,003",26,120,335,38,20,7,446,73,75,887
025008,Frankfurter Allee Süd FK,"8,859",111,68,"1,102",361,296,"3,666",44,332,691,106,42,12,"1,059",255,729,"2,317"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen","1,544",49,38,119,38,46,820,17,153,102,1,5,1,105,8,83,280
030000,Pankow,"39,164",529,389,"3,840",990,"1,931","18,502",544,"2,480","3,562",688,283,99,"4,576",942,910,"10,043"
031001,Buch,"2,145",16,14,301,80,132,829,14,115,74,19,21,12,301,46,35,626
032002,Blankenfelde/Niederschönhausen,"1,767",23,14,150,33,110,682,33,124,121,45,22,9,257,28,16,428
032003,Buchholz,"1,046",7,6,90,24,52,459,24,83,84,34,10,3,154,9,6,238
033004,Karow,944,6,5,99,18,59,416,11,64,66,47,7,3,129,35,20,230
033005,Blankenburg/Heinersdorf/Märchenland,"1,662",15,8,160,46,66,731,21,120,109,48,13,2,179,22,15,329
034006,Schönholz/Wilhelmsruh/Rosenthal,"1,144",22,14,101,23,50,509,22,148,65,43,16,12,137,11,11,261
034007,Pankow Zentrum,"3,096",46,33,281,58,136,"1,522",40,156,367,41,14,6,287,46,38,699
034008,Pankow Süd,"2,448",37,23,233,59,145,"1,114",62,183,267,65,17,5,263,50,45,658
035009,Weißensee,"3,413",41,31,319,80,194,"1,584",56,232,343,59,20,10,453,80,70,"1,032"
035010,Weißensee Ost,"1,597",22,18,177,43,86,719,26,122,91,26,11,6,185,7,41,537
036011,Prenzlauer Berg Nordwest,"3,313",59,47,348,102,137,"1,620",23,127,378,38,21,6,361,121,154,897
036012,Prenzlauer Berg Nord,"2,675",20,12,199,42,85,"1,542",36,165,363,49,12,2,293,79,68,578
036013,Helmholtzplatz,"2,124",41,26,196,60,83,"1,004",8,77,296,19,10,2,296,98,81,519
036014,Prenzlauer Berg Ost,"4,728",70,55,430,126,232,"2,546",74,360,226,75,54,13,503,128,112,"1,095"
037015,Prenzlauer Berg Südwest,"3,285",42,31,456,136,136,"1,450",38,111,307,30,16,4,379,101,124,903
037016,Prenzlauer Berg Süd,"2,870",31,26,235,39,153,"1,349",38,168,330,44,12,0,314,70,65,785
039900,"Bezirk (Pk), nicht zuzuordnen",907,31,26,65,21,75,426,18,125,75,6,7,4,85,11,9,228
040000,Charlottenburg-Wilmersdorf,"53,630",464,278,"4,171","1,010","2,473","24,774",899,"5,211","2,862","1,022",242,79,"4,134",750,"1,431","12,175"
041001,Charlottenburg Nord,"3,332",28,19,298,89,243,"1,143",91,341,38,54,21,4,187,3,383,781
042002,Heerstraße,"1,525",19,13,222,62,55,559,49,133,49,52,16,4,242,72,44,437
042003,Westend,"3,525",28,18,264,67,302,"1,601",85,382,159,102,13,8,284,37,56,910
043004,Schloss Charlottenburg,"4,668",45,26,441,116,238,"2,176",95,346,390,81,37,9,570,165,108,"1,222"
043005,Mierendorffplatz,"1,918",23,15,173,43,99,857,31,216,80,32,14,4,178,29,50,418
043006,Otto-Suhr-Allee/Kantstraße,"8,499",65,32,650,155,350,"4,285",53,595,556,130,37,12,552,84,202,"1,873"
044007,Grunewald,"2,189",13,10,159,32,141,900,54,304,105,118,16,7,299,84,30,569
044008,Schmargendorf,"2,542",16,11,221,44,132,"1,214",116,284,227,91,20,9,276,33,48,656
045009,Halensee,"4,618",35,20,288,49,184,"2,568",94,609,272,92,15,6,324,38,59,"1,312"
045010,Lietzenburger Straße,"14,333",116,62,979,249,362,"6,105",93,"1,116",477,157,25,6,741,145,313,"2,550"
045011,Volkspark Wilmersdorf,"5,110",52,31,372,88,282,"2,652",108,647,438,112,26,8,387,58,111,"1,140"
049900,"Bezirk (Ch-Wi), nicht zuzuordnen","1,371",24,21,104,16,85,714,30,238,71,1,2,2,94,2,27,307
050000,Spandau,"25,564",247,144,"2,850",652,"1,405","10,292",530,"2,030",776,475,265,111,"2,379",226,645,"6,473"
051001,Hakenfelde,"2,159",9,6,195,41,137,998,46,148,91,47,30,23,234,13,30,634
051002,Falkenhagener Feld,"2,567",35,19,397,98,199,912,69,176,55,79,39,15,274,12,56,873
051003,Spandau Mitte,"5,768",61,41,701,172,325,"2,282",66,401,217,54,58,18,489,46,296,"1,499"
052004,Brunsbütteler Damm,"1,447",13,6,163,30,100,569,58,128,34,43,22,8,176,22,39,379
052005,Heerstraße,"2,341",32,13,355,79,153,807,62,229,32,72,47,23,267,13,46,732
052006,Wilhelmstadt,"6,038",53,29,551,132,226,"2,473",60,340,142,69,27,7,416,78,101,"1,162"
053007,Haselhorst,"1,927",16,9,206,36,111,859,78,188,71,48,16,6,196,8,32,506
053008,Siemensstadt,"1,674",12,7,142,31,66,667,51,213,55,28,8,0,126,26,30,320
054009,Gatow/Kladow,812,4,2,79,17,41,328,16,59,35,33,12,6,118,2,5,184
059900,"Bezirk (Sp), nicht zuzuordnen",831,12,12,61,16,47,397,24,148,44,2,6,5,83,6,10,184
060000,Steglitz-Zehlendorf,"23,719",213,129,"2,024",423,"1,081","11,090",676,"1,855","1,666",961,151,52,"2,698",481,397,"5,422"
061001,Schloßstraße,"3,617",43,28,264,60,133,"2,040",35,144,232,52,8,1,217,29,74,651
061002,Albrechtstraße,"2,892",30,18,273,58,149,"1,355",114,323,247,89,9,4,301,31,54,767
062003,Lankwitz,"2,836",21,10,313,66,163,"1,103",108,219,155,94,28,6,281,8,59,749
062004,Ostpreußendamm,"2,236",10,2,238,52,122,951,95,160,146,114,16,7,259,50,31,516
063005,Teltower Damm,"2,409",24,16,199,35,108,"1,167",55,181,175,118,10,3,273,13,48,608
063006,Drakestraße,"3,052",25,16,285,49,149,"1,390",111,265,200,104,25,7,346,31,42,720
064007,Zehlendorf Südwest,"2,689",20,13,183,40,99,"1,037",60,169,175,99,28,15,507,213,34,551
064008,Zehlendorf Nord,"3,444",32,19,234,50,117,"1,761",78,319,247,291,21,6,466,104,46,745
069900,"Bezirk (St-Zd), nicht zuzuordnen",544,8,7,35,13,41,286,20,75,89,0,6,3,48,2,9,115
070000,Tempelhof-Schöneberg,"41,776",328,198,"3,893",948,"1,914","19,503",787,"3,512","2,702",730,243,86,"3,592",622,"1,435","10,132"
071001,Schöneberg Nordwest,"7,230",107,56,607,171,236,"4,009",41,394,443,68,17,6,462,46,274,"1,996"
071002,Schöneberg Nordost,"3,235",18,14,234,62,127,"1,804",20,278,343,55,14,4,271,48,150,848
072003,Schöneberg Südwest,"2,014",26,18,199,51,118,949,29,230,160,52,7,4,211,30,80,600
072004,Schöneberg Südost,"5,488",32,26,450,135,163,"2,476",26,328,458,40,20,7,442,142,173,"1,016"
073005,Friedenau West,"1,792",10,7,150,19,62,910,36,140,239,61,12,3,194,58,33,391
073006,Friedenau Ost,"2,008",10,8,170,29,125,"1,048",65,213,169,35,15,6,206,40,50,495
074007,Tempelhof Nord,"2,752",11,5,226,51,132,906,40,233,150,26,28,2,254,79,158,623
074008,Tempelhof Südwest,"3,984",22,10,364,92,176,"1,621",96,354,185,53,24,10,317,53,275,822
074009,Tempelhof Südost,"2,506",16,6,231,57,131,"1,232",89,318,84,25,23,12,189,16,52,517
075010,Mariendorf Nord,"2,716",11,5,277,73,155,"1,255",87,287,111,66,21,8,296,36,49,658
075011,Mariendorf Süd,"1,862",11,7,213,55,103,762,54,173,66,65,8,2,124,6,34,511
076012,Marienfelde Nord,"1,369",7,2,165,23,75,550,44,136,54,55,12,6,148,21,28,361
076013,Marienfelde Süd,"1,105",9,6,141,35,77,405,34,89,31,14,14,4,139,13,23,291
076014,Lichtenrade Nord,974,3,2,142,29,66,376,43,100,23,63,6,3,80,1,21,282
076015,Lichtenrade Süd,"1,793",20,13,247,52,121,657,66,94,91,52,18,6,199,30,22,533
079900,"Bezirk (Th-Sb), nicht zuzuordnen",948,15,13,77,14,47,543,17,145,95,0,4,3,60,3,13,188
080000,Neukölln,"45,313",508,294,"4,577","1,388","1,869","21,267",653,"5,056","2,148",722,408,145,"4,165",379,"1,869","10,253"
081001,Schillerpromenade,"4,650",68,39,428,155,124,"2,310",21,528,342,56,38,7,457,29,299,"1,015"
081002,Neuköllner Mitte/Zentrum,"9,380",80,44,827,263,239,"5,133",38,988,439,79,49,15,651,61,493,"1,753"
081003,Reuterstraße,"6,722",92,49,658,260,223,"3,443",30,634,411,54,44,13,627,101,351,"1,432"
081004,Rixdorf,"5,232",67,37,544,190,200,"2,363",39,556,464,69,64,26,485,50,340,"1,215"
081005,Köllnische Heide,"2,843",18,7,250,64,113,"1,135",62,455,45,22,44,21,355,11,123,624
082006,Britz Nord,"2,508",25,11,283,71,160,943,43,299,81,55,19,10,257,18,48,678
082007,Britz,"2,813",23,17,302,69,155,"1,269",92,404,84,53,24,12,267,29,40,650
082008,Buckow,"1,612",13,7,231,57,131,610,61,209,41,56,20,13,162,3,21,519
083009,Gropiusstadt West,"2,207",31,20,252,54,111,"1,130",47,192,47,59,19,5,215,26,35,555
083010,Gropiusstadt Ost,"1,600",22,16,252,70,124,523,34,137,36,53,32,4,247,18,27,585
084011,Buckow Nord,"1,101",12,7,142,40,60,482,32,150,28,21,25,10,91,2,7,291
084012,Rudow,"3,506",34,22,323,64,197,"1,230",137,308,75,145,25,8,280,25,41,746
089900,"Bezirk (Nk), nicht zuzuordnen","1,139",23,18,85,31,32,696,17,196,55,0,5,1,71,6,44,190
090000,Treptow-Köpenick,"26,099",207,118,"2,788",678,"1,380","12,052",683,"2,298","2,133",564,206,77,"3,152",558,680,"6,720"
091001,Alt-Treptow,"2,288",31,18,186,59,119,"1,220",34,230,320,34,13,4,203,36,168,609
091002,Plänterwald,"1,151",11,6,102,21,58,684,42,179,61,45,1,1,108,6,13,317
091003,Baumschulenweg,"1,627",14,8,166,45,108,763,51,175,92,54,11,5,202,25,43,484
091004,Johannisthal,"1,624",12,7,170,33,96,698,50,193,87,41,4,3,184,34,41,411
092005,Oberschöneweide,"2,363",10,6,323,80,142,877,62,169,172,31,37,15,356,49,75,731
092006,Niederschöneweide,"2,481",25,10,216,54,87,"1,156",44,127,169,28,24,8,431,116,51,597
092007,Adlershof,"2,182",18,10,201,42,121,977,53,146,200,37,11,3,240,37,42,498
092008,Köllnische Vorstadt/Spindlersfeld,"1,086",6,1,160,33,76,381,16,59,70,32,10,1,150,15,21,362
093009,Altglienicke,"2,024",11,6,258,71,131,962,85,169,102,77,17,4,220,34,43,536
093010,Bohnsdorf,"1,324",4,2,127,27,89,669,49,240,47,34,15,4,132,10,30,301
093011,Grünau,743,5,3,90,20,33,343,14,78,92,16,4,3,96,35,17,205
093012,Schmöckwitz,238,1,1,26,6,11,81,7,18,3,6,3,1,36,4,1,51
094013,Köpenick Süd,522,2,1,61,12,20,226,25,51,48,25,3,2,80,7,7,150
094014,Allende-Viertel,754,5,3,94,13,47,353,26,29,43,10,6,3,94,27,4,187
094015,Altstadt Köpenick,654,5,3,111,31,39,189,11,21,58,2,3,2,79,10,22,217
094016,Müggelheim,217,0,0,20,4,15,76,9,11,17,12,1,1,21,2,2,56
095017,Friedrichshagen,"1,158",8,7,103,21,41,590,36,87,161,21,10,1,150,46,30,216
095018,Rahnsdorf,626,2,1,66,9,32,285,8,50,89,11,5,1,64,11,3,128
095019,Dammvorstadt,"1,705",26,16,206,63,52,838,15,66,156,9,8,2,153,34,32,382
095020,Köpenick Nord,565,4,2,49,15,26,277,12,56,88,39,12,6,67,8,17,134
099900,"Bezirk (Tp-Kp), nicht zuzuordnen",767,7,7,53,19,37,407,34,144,58,0,8,7,86,12,18,148
100000,Marzahn-Hellersdorf,"26,649",315,177,"3,378",650,"1,510","11,475",793,"2,155",980,698,317,96,"2,908",392,424,"8,203"
101001,Marzahn Nord,"2,694",44,24,496,109,177,753,74,167,60,21,53,16,345,58,54,957
101002,Marzahn Mitte,"5,789",70,39,761,170,337,"2,671",188,638,142,116,91,36,570,39,95,"1,875"
101003,Marzahn Süd,"4,207",35,16,374,63,180,"1,928",175,462,99,101,33,11,445,76,55,933
102004,Hellersdorf Nord,"4,572",51,31,689,125,332,"1,895",115,265,183,80,52,10,506,52,73,"1,880"
102005,Hellersdorf Ost,"1,895",33,19,291,44,119,769,36,113,85,24,24,10,183,34,30,824
102006,Hellersdorf Süd,"1,910",24,10,274,43,119,740,62,119,64,46,27,7,253,50,34,594
103007,Biesdorf,"2,530",20,13,254,55,113,"1,266",56,139,180,96,17,3,214,23,31,530
104008,Kaulsdorf,"1,127",17,10,109,18,40,487,41,86,52,66,7,1,132,14,17,243
104009,Mahlsdorf,"1,439",8,5,96,17,63,710,21,91,88,148,11,2,206,39,30,264
109900,"Bezirk (Mz-Hd), nicht zuzuordnen",486,13,10,34,6,30,256,25,75,27,0,2,0,54,7,5,103
110000,Lichtenberg,"31,563",362,259,"3,543",803,"1,546","15,176",772,"2,948","1,802",606,222,79,"3,206",628,663,"8,499"
111001,Malchow,415,4,3,71,14,27,153,1,28,16,28,6,1,41,2,5,116
111002,Neu-Hohenschönhausen Nord,"2,520",44,33,344,80,183,978,56,232,84,44,23,5,322,32,61,955
111003,Neu-Hohenschönhausen Süd,"2,809",53,33,354,97,177,"1,206",77,264,91,51,24,13,341,54,70,937
112004,Alt-Hohenschönhausen Nord,"2,158",17,7,259,62,119,956,50,196,81,59,12,2,190,14,43,581
112005,Alt-Hohenschönhausen Süd,"2,986",34,24,327,80,130,"1,576",113,431,185,79,20,7,277,49,40,939
113006,Fennpfuhl,"3,144",32,25,371,63,130,"1,469",117,388,134,62,11,4,445,92,69,805
113007,Alt-Lichtenberg,"5,813",48,38,579,142,266,"3,136",108,412,254,51,36,16,397,65,130,"1,267"
113008,Frankfurter Allee Süd,"2,155",31,26,203,54,52,976,33,197,57,19,16,10,186,84,74,407
114009,Neu-Lichtenberg,"3,048",38,30,322,56,161,"1,424",64,187,302,44,20,7,322,73,66,817
114010,Friedrichsfelde Nord,"1,517",16,9,178,36,78,697,43,210,113,26,14,3,188,73,28,419
114011,Friedrichsfelde Süd,"2,217",17,10,256,46,100,"1,175",47,170,113,55,21,6,190,39,34,593
115012,Rummelsburger Bucht,471,3,3,50,12,16,258,8,42,54,25,3,1,47,12,12,109
115013,Karlshorst,"1,680",11,8,176,48,83,843,34,75,280,62,12,3,196,30,14,426
119900,"Bezirk (Lb), nicht zuzuordnen",630,14,10,53,13,24,329,21,116,38,1,4,1,64,9,17,128
120000,Reinickendorf,"27,344",311,173,"2,917",737,"1,536","11,147",575,"2,460","1,203",547,223,76,"2,481",203,553,"7,323"
121001,Ost 1 - Reginhardstraße,"2,979",41,25,356,105,186,"1,272",44,311,157,46,20,4,316,23,58,"1,146"
121002,Ost 2 - Alt-Reinickendorf,"3,635",56,34,327,84,177,"1,596",98,425,121,48,31,10,320,50,68,891
122003,West 4 - Auguste-Viktoria-Allee,"3,246",45,21,417,102,207,"1,368",40,208,90,48,14,1,250,23,56,893
122004,West 1 - Tegel-Süd/Flughafensee,"2,365",11,2,263,61,151,774,46,213,54,54,14,8,179,4,157,628
122005,West 5 - Tegel,"1,777",31,17,168,36,82,924,17,52,90,10,6,2,102,13,27,368
124006,West 2 - Heiligensee/Konradshöhe,"1,052",7,3,104,15,78,394,32,112,44,41,7,2,153,10,21,270
124007,Nord 1 - Frohnau/Hermsdorf,"1,871",17,11,113,30,87,962,80,225,238,127,13,5,295,22,22,398
125008,West 3 - Borsigwalde/Freie Scholle,"1,254",14,9,136,32,82,540,49,148,64,15,22,9,131,3,24,321
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,"4,446",35,22,426,105,169,"1,367",68,260,158,88,35,12,333,45,53,916
126010,Rollbergesiedlung,985,7,3,102,24,40,490,32,91,32,20,10,5,79,0,14,305
126011,MV Nord,"2,163",29,15,337,88,150,866,36,229,72,24,39,14,214,6,38,769
126012,MV Süd,830,10,5,104,31,69,259,15,94,25,26,10,3,67,2,8,258
129900,"Bezirk (Rd), nicht zuzuordnen",741,8,6,64,24,58,335,18,92,58,0,2,1,42,2,7,160
999900,"Stadtgebiet Berlin, nicht zuzuordnen","56,425",98,47,627,189,"1,688","7,787",38,504,391,6,8,3,"1,065",490,734,"2,558"
999999,Berlin (PKS gesamt),"536,695","5,389","3,333","48,254","12,610","23,989","226,393","7,781","38,994","28,754","8,323","3,286","1,125","45,434","7,448","17,502","119,737"
